pop,iter,gen num,C,gamma,time,cv score,logloss,accuracy
10,5,4,5.342617,4.435369,0.96,2.231863,1.327162,0.745098
10,10,2,1.831292,3.637094,2.63,2.234246,1.34815,0.72549
10,20,4,3.180908,4.327073,8.72,2.233035,1.290034,0.735294
10,50,8,4.504743,5.39172,46.6,2.230554,1.344548,0.705882
10,100,91,4.230199,4.456992,195.35,2.223204,1.408079,0.735294
20,5,3,3.554042,3.491802,2.24,2.234471,1.340022,0.735294
20,10,2,3.642608,3.52862,5.77,2.234601,1.271516,0.735294
20,20,6,3.328605,4.754344,16.68,2.225926,1.408666,0.715686
20,50,10,2.594965,3.599979,69.54,2.219404,1.279914,0.735294
20,100,41,3.776987,3.575837,248.45,2.22102,1.337346,0.735294
50,5,2,1.277379,4.07283,5.45,2.234366,1.376824,0.715686
50,10,7,4.315767,3.594954,16.35,2.221961,1.376849,0.735294
50,20,12,4.073571,3.972275,43.9,2.220088,1.320316,0.735294
50,50,32,3.411611,3.261005,167.21,2.22418,1.306324,0.735294
50,100,16,5.350751,4.360709,640.09,2.22456,1.405044,0.745098
100,5,1,9.494216,0.059406,6.99,2.206845,1.351693,0.696078
100,10,3,3.478495,3.956318,18.66,2.222903,1.338909,0.735294
100,20,9,3.278624,3.794142,55.02,2.22284,1.344396,0.735294
100,50,0,8.997209,0.059623,310.55,2.210296,1.4097,0.686275
100,100,47,3.980218,4.076469,1211.22,2.221863,1.39554,0.735294
200,5,4,4.108456,4.182859,15.01,2.229417,1.378256,0.735294
200,10,8,4.104505,3.729021,35.52,2.226191,1.278617,0.72549
200,20,9,3.507914,3.732463,104.63,2.220195,1.388671,0.72549
200,50,3,3.466952,3.910759,571.33,2.219035,1.376684,0.735294
200,100,85,3.748505,3.889421,2048.93,2.214077,1.294672,0.735294
