pop,iter,gen num,C,gamma,time,cv score,logloss,accuracy
10,5,2,4.210969,2.346232,1.56,2.295243,1.330491,0.794118
10,10,2,1.984242,2.91749,4.01,2.283937,1.275355,0.77451
10,20,19,4.208015,4.065623,12.57,2.293146,1.308217,0.784314
10,50,36,7.86615,1.737911,65.61,2.282742,1.359633,0.803922
10,100,3,5.304857,2.090131,247.65,2.280183,1.335532,0.784314
20,5,0,4.429249,3.738299,2.02,2.295799,1.321826,0.784314
20,10,2,7.804582,0.99723,6.55,2.271879,1.289294,0.784314
20,20,4,5.368216,2.191709,25.52,2.281566,1.311587,0.784314
20,50,46,2.82151,4.00809,129.87,2.282159,1.338717,0.784314
20,100,65,4.50327,2.230916,398.37,2.273145,1.305933,0.794118
50,5,1,3.876886,1.944297,7.02,2.287347,1.314148,0.784314
50,10,6,5.421475,2.191377,17.71,2.27483,1.32955,0.784314
50,20,19,3.877565,2.186777,45.62,2.278481,1.295872,0.803922
50,50,6,4.430782,1.905586,194.49,2.276811,1.328644,0.794118
50,100,68,7.080306,2.316395,614.58,2.274722,1.287643,0.813725
100,5,4,4.799429,1.711978,7.44,2.279487,1.294737,0.784314
100,10,5,3.862868,3.35176,19.63,2.279929,1.361676,0.794118
100,20,12,6.053327,2.118969,57.95,2.273388,1.342638,0.803922
100,50,33,5.850822,2.329582,313.4,2.271917,1.40191,0.813725
100,100,9,3.82968,2.877185,1368.35,2.270971,1.290899,0.784314
200,5,3,5.201249,1.92281,19.52,2.266819,1.308112,0.794118
200,10,1,4.909842,1.294052,39.96,2.265926,1.291878,0.764706
200,20,19,5.434341,1.97408,149.04,2.269738,1.309931,0.794118
200,50,8,4.3629,2.371978,718.88,2.269267,1.287321,0.794118
200,100,7,4.180534,2.662845,2143.99,2.271437,1.347307,0.794118
