pop,iter,gen num,C,gamma,time,cv score,logloss,accuracy
10,5,3,6.200002,1.141829,1.83,2.283397,1.265425,0.754902
10,10,0,8.131339,2.485682,4.39,2.314621,1.335839,0.735294
10,20,12,4.257617,1.852351,13.51,2.295609,1.215829,0.754902
10,50,2,4.885378,0.711335,56.23,2.260047,1.287287,0.754902
10,100,5,3.871355,1.03575,231.34,2.261426,1.170609,0.745098
20,5,2,6.749784,0.890763,1.82,2.264712,1.223727,0.754902
20,10,7,8.468546,1.754818,4.91,2.278581,1.164444,0.754902
20,20,6,6.925979,1.031326,17.36,2.266686,1.172379,0.754902
20,50,44,6.012299,0.732016,86.99,2.241381,1.190057,0.754902
20,100,60,9.53045,0.734791,306,2.235877,1.220786,0.754902
50,5,4,3.545346,1.278675,4.69,2.276611,1.179453,0.745098
50,10,1,4.645771,0.071521,10.08,2.253624,1.409153,0.676471
50,20,17,5.013222,1.321122,30.34,2.267474,1.246558,0.754902
50,50,9,8.357896,0.67645,182.27,2.229672,1.205878,0.754902
50,100,89,3.364823,2.219496,554.27,2.280693,1.199325,0.72549
100,5,3,5.760027,0.649505,7.61,2.255572,1.234954,0.754902
100,10,5,7.371377,0.839293,19.44,2.249488,1.245772,0.754902
100,20,6,7.736571,0.712183,53.77,2.248061,1.172785,0.754902
100,50,3,8.312286,0.040928,278.65,2.182017,1.3489,0.705882
100,100,50,6.138155,0.922795,996.02,2.250202,1.220114,0.754902
200,5,4,8.526678,0.645125,13.15,2.239398,1.164818,0.754902
200,10,1,6.626876,0.769886,33.56,2.250435,1.185254,0.754902
200,20,19,6.149831,1.06778,92.78,2.26004,1.219916,0.754902
200,50,3,8.685977,0.556309,466.95,2.223739,1.222229,0.754902
200,100,37,6.180297,1.005777,2257.44,2.25525,1.214828,0.745098
