pop,iter,gen num,C,gamma,time,cv score,logloss,accuracy
10,5,3,0.775885,0.741334,1.04,-2.371989,1.639387,0.735294
10,10,4,0.862755,0.61262,2.65,-2.375861,1.300349,0.735294
10,20,3,0.854879,0.650106,8.34,-2.372864,1.517469,0.735294
10,50,18,0.828379,0.838094,45.73,-2.351378,1.300563,0.735294
10,100,98,0.990735,0.642568,195.91,-2.346512,1.361659,0.72549
20,5,0,0.991201,0.676812,1.44,-2.364096,1.242285,0.72549
20,10,8,0.882012,0.521156,4.11,-2.370742,1.440953,0.715686
20,20,3,0.810099,0.792571,12.14,-2.3432,1.436476,0.735294
20,50,45,0.965561,0.883801,59.95,-2.336284,1.289719,0.72549
20,100,33,0.858748,0.900308,224.52,-2.338063,1.2993,0.72549
50,5,0,0.954712,0.960456,3.31,-2.326466,1.254817,0.715686
50,10,1,0.559279,0.921179,9.54,-2.349331,1.413862,0.705882
50,20,15,0.910123,0.756723,28.68,-2.352239,1.29743,0.735294
50,50,43,0.906265,0.769172,140.99,-2.34305,1.335147,0.735294
50,100,55,0.859524,0.832056,536.92,-2.339384,1.253516,0.735294
100,5,3,0.822393,0.539237,5.92,-2.351654,1.383943,0.715686
100,10,1,0.826309,0.779784,16.24,-2.341964,1.335005,0.735294
100,20,8,0.95189,0.809941,67.41,-2.325684,1.337457,0.72549
100,50,7,0.873937,0.837696,322.54,-2.332779,1.375047,0.735294
100,100,97,0.941286,0.895356,1014.99,-2.322137,1.335966,0.72549
200,5,0,0.964847,0.939523,11.84,-2.341327,1.402856,0.715686
200,10,0,0.924643,0.871136,31.17,-2.339811,1.29886,0.72549
200,20,5,0.886385,0.87004,106.72,-2.334496,1.304115,0.72549
200,50,41,0.874116,0.769028,529.85,-2.335952,1.361472,0.745098
200,100,79,0.890947,0.897066,1911.65,-2.325546,1.325503,0.72549
10,5,3,0.583313,0.876033,0.9,-2.376071,1.586244,0.696078
10,10,5,0.617034,0.555163,2.52,-2.377227,1.448491,0.676471
10,20,8,0.507644,0.930632,8.43,-2.365265,1.567837,0.676471
10,50,13,0.502328,0.908584,45.35,-2.348504,1.423047,0.676471
10,100,93,0.705663,0.697588,173.7,-2.328258,1.361726,0.696078
20,5,4,0.813933,0.801347,1.36,-2.344713,1.624254,0.72549
20,10,4,0.67745,0.643677,3.77,-2.351094,1.515612,0.705882
20,20,3,0.444417,0.859861,11.45,-2.349657,1.817341,0.656863
20,50,11,0.829294,0.66087,64.18,-2.352808,1.376056,0.72549
20,100,30,0.735298,0.649867,243.72,-2.327358,1.390432,0.705882
50,5,4,0.757886,0.571231,3.09,-2.340524,1.413652,0.696078
50,10,6,0.63553,0.42136,8.91,-2.368091,1.748562,0.676471
50,20,12,0.750386,0.592301,32.54,-2.353272,1.398061,0.705882
50,50,14,0.511788,0.71066,179.28,-2.356804,1.647214,0.686275
50,100,78,0.720232,0.631464,571.78,-2.295972,1.490703,0.705882
100,5,0,0.997353,0.755967,7.54,-2.34796,1.49959,0.735294
100,10,2,0.502407,0.702069,18.35,-2.362611,1.60099,0.686275
100,20,8,0.731289,0.759372,52.28,-2.322591,1.422814,0.715686
100,50,38,0.693835,0.579956,303.4,-2.318138,1.503484,0.686275
100,100,35,0.657951,0.540167,977.43,-2.305616,1.389641,0.676471
200,5,1,0.864375,0.662769,11.24,-2.349409,1.327915,0.72549
200,10,1,0.72737,0.725455,29.46,-2.32262,1.386085,0.705882
200,20,9,0.728142,0.651474,89.09,-2.299347,1.466367,0.705882
200,50,8,0.731327,0.633242,553.39,-2.298736,1.479212,0.705882
200,100,46,0.694776,0.591155,2141.81,-2.300198,1.473277,0.696078
10,5,0,0.498917,0.238895,1.17,-2.318614,1.797332,0.588235
10,10,2,0.951934,0.772284,3.39,-2.248885,1.316599,0.715686
10,20,1,0.789687,0.865127,8.47,-2.284584,1.362445,0.715686
10,50,23,0.522148,0.897803,45.36,-2.258524,1.598832,0.696078
10,100,18,0.778453,0.903627,215.56,-2.24919,1.597466,0.715686
20,5,3,0.734826,0.792028,1.8,-2.267316,1.530664,0.705882
20,10,8,0.773557,0.940156,4.15,-2.249166,1.421809,0.72549
20,20,9,0.809572,0.948005,13.49,-2.266422,1.644196,0.72549
20,50,23,0.743888,0.929618,72.13,-2.254207,1.460628,0.715686
20,100,69,0.912512,0.830734,254.93,-2.2361,1.411296,0.715686
50,5,1,0.83546,0.765408,3.06,-2.272703,1.409115,0.72549
50,10,8,0.661562,0.801659,8.8,-2.284497,1.476152,0.705882
50,20,10,0.678544,0.862862,32.01,-2.259467,1.402371,0.705882
50,50,33,0.77309,0.897324,168.93,-2.245521,1.697309,0.715686
50,100,7,0.735145,0.950181,647.44,-2.245206,1.535622,0.715686
100,5,4,0.874356,0.666245,6.58,-2.286599,1.443904,0.696078
100,10,4,0.865063,0.883355,17.77,-2.228063,1.339122,0.715686
100,20,14,0.758646,0.753038,55.48,-2.235956,1.871298,0.715686
100,50,15,0.720993,0.853719,267.03,-2.234466,1.386049,0.715686
100,100,33,0.677532,0.736065,953.56,-2.234557,1.45305,0.705882
200,5,2,0.838728,0.844323,11.79,-2.257453,1.396679,0.715686
200,10,7,0.746672,0.794966,35.85,-2.245369,1.403357,0.705882
200,20,1,0.782966,0.882653,104.8,-2.244267,1.433705,0.715686
200,50,43,0.724877,0.833313,463.23,-2.233841,1.42213,0.715686
200,100,64,0.710254,0.814443,1813.25,-2.234269,1.668056,0.705882
