pop,iter,gen num,C,gamma,time,cv score,logloss,accuracy
10,5,3,0.583313,0.876033,0.9,2.376071,1.586244,0.696078
10,10,5,0.617034,0.555163,2.52,2.377227,1.448491,0.676471
10,20,8,0.507644,0.930632,8.43,2.365265,1.567837,0.676471
10,50,13,0.502328,0.908584,45.35,2.348504,1.423047,0.676471
10,100,93,0.705663,0.697588,173.7,2.328258,1.361726,0.696078
20,5,4,0.813933,0.801347,1.36,2.344713,1.624254,0.72549
20,10,4,0.67745,0.643677,3.77,2.351094,1.515612,0.705882
20,20,3,0.444417,0.859861,11.45,2.349657,1.817341,0.656863
20,50,11,0.829294,0.66087,64.18,2.352808,1.376056,0.72549
20,100,30,0.735298,0.649867,243.72,2.327358,1.390432,0.705882
50,5,4,0.757886,0.571231,3.09,2.340524,1.413652,0.696078
50,10,6,0.63553,0.42136,8.91,2.368091,1.748562,0.676471
50,20,12,0.750386,0.592301,32.54,2.353272,1.398061,0.705882
50,50,14,0.511788,0.71066,179.28,2.356804,1.647214,0.686275
50,100,78,0.720232,0.631464,571.78,2.295972,1.490703,0.705882
100,5,0,0.997353,0.755967,7.54,2.34796,1.49959,0.735294
100,10,2,0.502407,0.702069,18.35,2.362611,1.60099,0.686275
100,20,8,0.731289,0.759372,52.28,2.322591,1.422814,0.715686
100,50,38,0.693835,0.579956,303.4,2.318138,1.503484,0.686275
100,100,35,0.657951,0.540167,977.43,2.305616,1.389641,0.676471
200,5,1,0.864375,0.662769,11.24,2.349409,1.327915,0.72549
200,10,1,0.72737,0.725455,29.46,2.32262,1.386085,0.705882
200,20,9,0.728142,0.651474,89.09,2.299347,1.466367,0.705882
200,50,8,0.731327,0.633242,553.39,2.298736,1.479212,0.705882
200,100,46,0.694776,0.591155,2141.81,2.300198,1.473277,0.696078
