pop,iter,gen num,C,gamma,time,cv score,logloss,accuracy
10,5,3,0.775885,0.741334,1.04,2.371989,1.639387,0.735294
10,10,4,0.862755,0.61262,2.65,2.375861,1.300349,0.735294
10,20,3,0.854879,0.650106,8.34,2.372864,1.517469,0.735294
10,50,18,0.828379,0.838094,45.73,2.351378,1.300563,0.735294
10,100,98,0.990735,0.642568,195.91,2.346512,1.361659,0.72549
20,5,0,0.991201,0.676812,1.44,2.364096,1.242285,0.72549
20,10,8,0.882012,0.521156,4.11,2.370742,1.440953,0.715686
20,20,3,0.810099,0.792571,12.14,2.3432,1.436476,0.735294
20,50,45,0.965561,0.883801,59.95,2.336284,1.289719,0.72549
20,100,33,0.858748,0.900308,224.52,2.338063,1.2993,0.72549
50,5,0,0.954712,0.960456,3.31,2.326466,1.254817,0.715686
50,10,1,0.559279,0.921179,9.54,2.349331,1.413862,0.705882
50,20,15,0.910123,0.756723,28.68,2.352239,1.29743,0.735294
50,50,43,0.906265,0.769172,140.99,2.34305,1.335147,0.735294
50,100,55,0.859524,0.832056,536.92,2.339384,1.253516,0.735294
100,5,3,0.822393,0.539237,5.92,2.351654,1.383943,0.715686
100,10,1,0.826309,0.779784,16.24,2.341964,1.335005,0.735294
100,20,8,0.95189,0.809941,67.41,2.325684,1.337457,0.72549
100,50,7,0.873937,0.837696,322.54,2.332779,1.375047,0.735294
100,100,97,0.941286,0.895356,1014.99,2.322137,1.335966,0.72549
200,5,0,0.964847,0.939523,11.84,2.341327,1.402856,0.715686
200,10,0,0.924643,0.871136,31.17,2.339811,1.29886,0.72549
200,20,5,0.886385,0.87004,106.72,2.334496,1.304115,0.72549
200,50,41,0.874116,0.769028,529.85,2.335952,1.361472,0.745098
200,100,79,0.890947,0.897066,1911.65,2.325546,1.325503,0.72549
