pop,iter,gen_num,C,Gamma,cv_score,time,log_loss,accuracy
10,5,3,6.20000238648,1.14182919682,-2.28339698142,1.8303780555725098,1.26542515626,0.754901960784
10,10,0,8.13133929877,2.48568173313,-2.31462093959,4.3870062828063965,1.33583877018,0.735294117647
10,20,12,4.25761748575,1.85235100326,-2.29560911431,13.512026309967041,1.21582861762,0.754901960784
10,50,2,4.88537821416,0.711334761081,-2.26004733897,56.2342426776886,1.287287183,0.754901960784
10,100,5,3.8713554667,1.03575019768,-2.26142582055,231.3402557373047,1.17060943325,0.745098039216
20,5,2,6.74978357809,0.890762619615,-2.26471186995,1.821065902709961,1.22372704075,0.754901960784
20,10,7,8.46854626935,1.75481830216,-2.27858139267,4.908910274505615,1.16444382975,0.754901960784
20,20,6,6.9259787292,1.03132615429,-2.26668584518,17.35831069946289,1.17237916733,0.754901960784
20,50,44,6.01229926611,0.732016108825,-2.24138100534,86.98992824554443,1.19005654686,0.754901960784
20,100,60,9.53044952007,0.73479058566,-2.23587736603,305.99974966049194,1.22078646105,0.754901960784
50,5,4,3.54534554253,1.27867504631,-2.27661099712,4.6866233348846436,1.17945304947,0.745098039216
50,10,1,4.64577104779,0.0715212637437,-2.25362388392,10.081887483596802,1.4091526286,0.676470588235
50,20,17,5.01322248549,1.32112245768,-2.26747360968,30.338270664215088,1.24655755085,0.754901960784
50,50,9,8.35789614114,0.676450049932,-2.2296721238,182.26968598365784,1.20587786164,0.754901960784
50,100,89,3.36482293891,2.2194963031,-2.28069307218,554.2685568332672,1.19932495168,0.725490196078
100,5,3,5.76002726512,0.649505031628,-2.25557234464,7.610334634780884,1.23495390617,0.754901960784
100,10,5,7.37137711763,0.839293195282,-2.24948798249,19.437018394470215,1.24577246522,0.754901960784
100,20,6,7.73657149816,0.712183210124,-2.24806117982,53.76617193222046,1.17278464296,0.754901960784
100,50,3,8.31228645997,0.0409276382929,-2.18201738501,278.6514778137207,1.34890006138,0.705882352941
100,100,50,6.13815547875,0.922794791775,-2.25020231167,996.0229284763336,1.22011389744,0.754901960784
